商品	订单号	订单状态	商品数量(件)	是否审核中	支付时间	承诺发货时间	承诺送达时间	发货时间	确认收货时间	商品id	商品规格	商家编码-规格维度	商家编码-商品维度	售后状态	订单成交时间	商品总价(元)	邮费(元)	店铺优惠折扣(元)	平台优惠折扣(元)	多多支付立减金额(元)
2026年新款夏季薄款黑色喇叭工装裤女高腰裤修身休闲裤运动裤	260319-023372818872070	已发货，待收货	"1	"	正常	2026/3/19 13:47	2026/3/21 13:47		2026/3/19 13:51	"	"	"705945289499	"	夏季款-有口袋-高个子款 身高165CM以上,L 101-110斤	T12844	"6050	"	无售后或售后取消	2026/3/19 13:47	"69.8	"	"0.0	"	"0.0	"	"0.0	"	"0.0	"
微喇工装裤女款2026新款夏季薄款小个子高腰修身休闲风裤运动裤	260319-229942269480577	待发货	"1	"	正常	2026/3/19 13:44	2026/3/21 13:44		"	"	"	"	"708220476211	"	夏季款-有口袋-高个子款 身高165CM以上,2XL 126-140斤	T13881	"6050	"	无售后或售后取消	2026/3/19 13:44	"69.8	"	"0.0	"	"0.0	"	"5.0	"	"0.0	"
